,"Total, 15 years and over",15 to 17 years,18 to 24 years,25 to 44 years,45 to 64 years,,,,,,,,,,
1961,277500,26000,147700,47500,56400,,,,,,,,,,
1962,311500,30900,175600,47500,57500,,,,,,,,,,
1963,359900,38300,215200,47700,58600,,,,,,,,,,
1964,425600,49000,268500,48400,59700,,,,,,,,,,
1965,511000,63600,336700,49900,60800,,,,,,,,,,
1966,617600,82800,420400,52400,62000,,,,,,,,,,
1967,745000,106800,518500,56500,63200,,,,,,,,,,
1968,890300,135800,627500,62600,64400,,,,,,,,,,
1969,1047000,169100,740900,71300,65700,,,,,,,,,,
1970,1205400,205100,850100,83100,67100,,,,,,,,,,
1971,1356600,241800,947800,98400,68500,,,,,,,,,,
1972,1494200,277000,1029600,117500,70100,,,,,,,,,,
1973,1615800,309000,1094400,140400,71900,,,,,,,,,,
1974,1721200,337000,1143100,167200,73900,,,,,,,,,,
1975,1812200,360300,1178100,197800,76000,,,,,,,,,,
1976,1891300,378200,1202200,232400,78400,,,,,,,,,,
1977,1961100,390500,1218200,271300,81100,,,,,,,,,,
1978,2023900,396400,1228600,315000,84000,,,,,,,,,,
1979,2081200,395100,1234600,364400,87000,,,,,,,,,,
1980,2133400,386400,1236500,420200,90200,,,,,,,,,,
1981,2180900,370900,1234000,482700,93300,,,,,,,,,,
1982,2223300,349900,1225700,551300,96300,,,,,,,,,,
1983,2258600,325300,1210100,624200,99000,,,,,,,,,,
1984,2282800,298900,1185400,697500,101000,,,,,,,,,,
1985,2292400,272400,1150800,767000,102200,,,,,,,,,,
1986,2287600,247600,1108800,828400,102700,,,,,,,,,,
1987,2271000,226100,1063100,878900,102800,,,,,,,,,,
1988,2246500,209400,1017200,916900,103000,,,,,,,,,,
1989,2218800,198500,973000,943400,103800,,,,,,,,,,
1990,2193800,194300,932400,961300,105900,,,,,,,,,,
1991,2180400,197000,898600,974900,110000,,,,,,,,,,
1992,2187500,206600,875300,988900,116700,,,,,,,,,,
1993,2222300,222200,866100,1007200,126800,,,,,,,,,,
1994,2284600,242500,871200,1030000,140800,,,,,,,,,,
1995,2370100,265600,889500,1055900,159200,,,,,,,,,,
1996,2473900,289100,919200,1083400,182100,,,,,,,,,,
1997,2591400,311500,958000,1112000,209900,,,,,,,,,,
1998,2717500,331400,1001800,1142200,242200,,,,,,,,,,
1999,2845800,347800,1046100,1173500,278300,,,,,,,,,,
2000,2967100,360100,1087500,1202900,316600,,,,,,,,,,
2001,3075300,368000,1123500,1227300,356600,,,,,,,,,,
2002,3167100,371800,1153400,1244100,397800,,,,,,,,,,
2003,3243200,371900,1177100,1254400,439800,,,,,,,,,,
2004,3307300,368800,1195200,1261500,481800,,,,,,,,,,
2005,3364900,363400,1208400,1269700,523300,,,,,,,,,,
2006,3421000,356200,1217200,1283300,564400,,,,,,,,,,
2007,3481900,347600,1222900,1305200,606200,,,,,,,,,,
2008,3553700,338400,1226800,1338400,650100,,,,,,,,,,
2009,3641700,329100,1229800,1385600,697200,,,,,,,,,,
2010,3749200,320100,1233000,1447300,748700,,,,,,,,,,
2011,3878300,311500,1237400,1524000,805400,,,,,,,,,,
2012,4027100,303100,1243400,1614100,866500,,,,,,,,,,
2013,4191000,294900,1250600,1714100,931500,,,,,,,,,,
2014,4364200,286800,1258600,1820300,998500,,,,,,,,,,
2015,4540900,278700,1266900,1929200,1066100,,,,,,,,,,
2016,4701200,284300,1300600,2013200,1103200,,,,,,,,,,
2017,4876500,291300,1341700,2104800,1138800,,,,,,,,,,
